District,Rainfall_2023_mm,Normal_Rainfall_mm,Extraction_Status,TDS/EC_Level,Nitrate_Status,Fluoride_Status,PH,TDS_mg_L,Calcium_mg_L,Magnesium_mg_L,Chloride_mg_L,Nitrate_mg_L,Fluoride_mg_L
Amreli,767.2,688.8,Safe,Low,Within Limit,Within Limit,7.47,379,54.9,29.6,277,5.3,1.27
Ahmedabad,578.1,622.9,Safe,Low,Within Limit,Within Limit,7.7,411,64.4,31.4,161,17.5,0.24
Surat,1599.4,1442.7,Safe,Low,Within Limit,Within Limit,6.96,324,57.9,24.0,129,8.3,0.63
Vadodara,967.9,896.5,Safe,High,Above Limit,Within Limit,7.3,1688,131.5,52.6,538,93.8,0.87
Rajkot,574.0,566.7,Safe,Moderate,Within Limit,Within Limit,7.29,554,110.8,20.0,213,9.9,0.67
Gandhinagar,745.2,719.7,Safe,Moderate,Above Limit,Above Limit,7.14,699,80.3,66.1,153,92.3,1.64
Bhavnagar,741.6,718.5,Safe,High,Within Limit,Within Limit,7.0,1615,78.9,65.7,477,17.8,0.18
Jamnagar,510.2,598.2,Over-Exploited,High,Above Limit,Above Limit,7.32,1920,85.8,98.4,613,46.5,3.0
Junagadh,874.0,958.8,Over-Exploited,Moderate,Within Limit,Within Limit,7.79,962,38.1,43.3,117,21.6,1.34
Kutch,417.5,361.2,Safe,High,Within Limit,Above Limit,7.34,2601,168.2,72.2,776,12.3,2.11
Banaskantha,662.4,552.1,Critical,Moderate,Within Limit,Above Limit,6.9,827,85.7,16.9,230,23.3,3.33
Patan,542.9,533.8,Safe,Moderate,Within Limit,Within Limit,6.86,770,77.1,43.1,165,7.7,0.6
Mehsana,521.0,553.0,Safe,Low,Within Limit,Within Limit,7.52,426,79.3,38.2,111,32.2,0.71
Sabarkantha,719.5,636.6,Safe,Moderate,Within Limit,Within Limit,7.35,989,48.4,33.7,459,6.0,0.69
Aravalli,777.9,749.0,Safe,Low,Within Limit,Within Limit,7.47,326,32.8,36.3,79,10.0,1.32
Anand,828.5,785.9,Safe,Moderate,Within Limit,Within Limit,7.91,1084,57.5,60.1,322,14.8,0.4
Kheda,733.4,816.4,Safe,Moderate,Within Limit,Within Limit,8.17,1091,101.4,67.2,265,36.8,0.4
Panchmahal,1074.4,882.9,Safe,Moderate,Within Limit,Within Limit,7.84,556,91.4,54.5,88,30.4,0.73
Dahod,979.2,1194.3,Safe,Moderate,Within Limit,Within Limit,7.49,998,40.1,31.7,153,11.2,1.11
Bharuch,1139.0,1116.9,Safe,Low,Within Limit,Within Limit,7.85,429,68.2,36.9,232,9.0,0.92
Narmada,1160.5,1242.3,Over-Exploited,High,Within Limit,Within Limit,7.59,2079,99.5,59.2,612,37.6,0.83
Tapi,1867.0,1741.9,Critical,Low,Above Limit,Within Limit,6.84,274,89.1,30.4,132,49.8,0.8
Navsari,1631.2,1805.0,Safe,Moderate,Within Limit,Within Limit,7.63,999,68.4,31.2,510,18.6,0.53
Valsad,2094.6,2106.0,Safe,Low,Within Limit,Within Limit,7.59,417,51.3,59.9,194,16.0,0.85
Botad,699.1,685.2,Safe,High,Within Limit,Within Limit,7.85,2858,126.9,58.8,753,29.3,0.49
Chhota Udaipur,1085.5,1212.1,Safe,Moderate,Above Limit,Within Limit,7.18,546,85.8,26.1,42,47.8,0.61
Devbhoomi Dwarka,510.0,566.6,Safe,High,Within Limit,Within Limit,7.14,2241,102.4,56.9,512,11.0,0.37
Gir Somnath,1092.3,1079.7,Safe,Very High,Within Limit,Within Limit,7.12,3548,113.8,106.2,1022,27.2,0.41
Morbi,661.8,667.2,Safe,Moderate,Within Limit,Within Limit,7.86,618,71.9,21.8,208,10.7,0.13
Porbandar,610.8,653.0,Safe,Low,Within Limit,Within Limit,7.63,400,52.4,43.2,51,41.4,0.37
Mahisagar,912.8,770.5,Safe,Low,Within Limit,Within Limit,8.1,479,80.9,49.0,253,21.9,0.86
Surendranagar,672.4,664.1,Safe,Moderate,Above Limit,Above Limit,7.63,517,28.1,57.5,286,52.2,1.6
Dang,2159.3,2186.0,Safe,Low,Within Limit,Within Limit,8.1,383,58.0,40.8,166,6.8,0.28
Amreli,664.0,700.3,Safe,Moderate,Within Limit,Within Limit,7.83,758,79.7,52.8,275,15.5,0.44
Ahmedabad,672.1,665.0,Safe,Moderate,Above Limit,Above Limit,7.34,1385,81.8,47.3,323,63.6,1.59
Surat,1499.2,1358.5,Safe,Low,Within Limit,Within Limit,7.79,264,51.4,39.4,10,7.7,1.06
Vadodara,756.2,848.6,Safe,High,Within Limit,Within Limit,8.28,1848,115.7,41.3,653,5.7,0.67
Rajkot,796.8,642.9,Safe,Moderate,Within Limit,Within Limit,7.21,1383,68.8,65.8,353,23.8,0.35
Gandhinagar,749.5,710.4,Safe,Low,Within Limit,Within Limit,7.81,380,78.7,46.8,115,23.1,0.83
Bhavnagar,655.4,642.6,Saline,Very High,Within Limit,Within Limit,7.83,4686,130.1,115.1,1317,17.7,1.09
Jamnagar,581.0,644.7,Safe,Moderate,Above Limit,Above Limit,7.7,636,62.8,54.2,313,49.9,2.62
Junagadh,912.8,893.3,Saline,High,Within Limit,Within Limit,7.38,2935,129.5,48.4,800,6.6,0.45
Kutch,367.4,379.3,Safe,Moderate,Within Limit,Within Limit,7.31,1216,106.4,44.7,198,24.0,0.22
Banaskantha,361.1,427.4,Safe,Low,Within Limit,Within Limit,7.18,437,47.9,15.5,283,11.6,0.21
Patan,431.3,504.4,Saline,High,Above Limit,Within Limit,7.68,1606,83.2,36.8,487,50.2,1.1
Mehsana,357.5,435.5,Safe,Moderate,Above Limit,Within Limit,7.3,823,69.9,27.6,143,99.7,0.81
Sabarkantha,734.7,734.2,Safe,Moderate,Within Limit,Within Limit,7.38,823,54.0,19.6,287,23.2,1.4
Aravalli,721.4,794.1,Safe,High,Within Limit,Within Limit,7.71,1578,105.4,87.4,608,34.7,1.12
Anand,812.3,864.9,Safe,Moderate,Within Limit,Within Limit,7.67,568,54.2,47.4,205,10.1,0.81
Kheda,865.7,858.3,Safe,Moderate,Within Limit,Within Limit,7.53,843,86.0,37.7,289,8.6,0.5
Panchmahal,902.5,850.8,Safe,Moderate,Within Limit,Within Limit,7.35,881,91.4,48.9,247,8.7,0.49
Dahod,991.2,972.9,Semi-Critical,Low,Within Limit,Above Limit,7.2,477,67.0,52.8,244,19.1,1.71
Bharuch,1169.6,925.6,Safe,Moderate,Within Limit,Within Limit,7.44,1212,66.4,41.6,402,33.2,1.19
Narmada,987.7,1127.2,Safe,Moderate,Within Limit,Within Limit,7.71,899,78.1,65.7,278,20.0,1.2
Tapi,1498.1,1754.4,Safe,Low,Within Limit,Within Limit,7.27,409,131.4,32.2,143,32.8,1.44
Navsari,2055.5,1822.6,Safe,Low,Within Limit,Within Limit,7.09,391,91.1,36.0,47,6.9,0.49
Valsad,2105.5,2000.3,Safe,Moderate,Within Limit,Within Limit,7.55,657,64.4,58.2,418,14.6,1.07
Botad,670.3,659.9,Saline,Very High,Within Limit,Above Limit,7.59,3466,119.9,101.7,933,14.7,3.47
Chhota Udaipur,1123.1,1089.9,Saline,High,Within Limit,Within Limit,7.35,2729,123.6,58.3,780,4.9,0.37
Devbhoomi Dwarka,617.1,711.3,Over-Exploited,Moderate,Within Limit,Within Limit,6.91,563,106.1,11.6,114,6.2,0.68
Gir Somnath,903.6,963.7,Safe,High,Within Limit,Within Limit,6.92,2436,106.7,71.6,581,29.5,0.63
Morbi,590.6,598.7,Safe,Low,Above Limit,Above Limit,7.92,234,106.1,30.9,37,66.7,2.49
Porbandar,673.5,691.0,Over-Exploited,Moderate,Within Limit,Within Limit,6.73,1441,83.0,77.3,397,8.7,1.08
Mahisagar,891.2,898.8,Safe,Low,Within Limit,Within Limit,6.99,374,82.2,37.3,81,22.0,0.56
Surendranagar,648.1,560.8,Semi-Critical,Moderate,Within Limit,Within Limit,7.39,1280,88.5,49.1,409,10.6,1.34
Dang,2193.2,2258.9,Safe,Moderate,Within Limit,Within Limit,7.74,597,68.9,28.5,168,37.0,0.3
Amreli,766.7,681.0,Safe,Moderate,Within Limit,Within Limit,7.51,723,96.2,54.2,196,18.0,1.38
Ahmedabad,695.8,703.2,Safe,Moderate,Within Limit,Within Limit,7.51,775,102.8,57.6,299,8.4,0.68
Surat,1722.3,1474.1,Safe,Moderate,Above Limit,Within Limit,7.9,693,62.4,33.0,262,70.1,0.7
Vadodara,540.0,712.1,Safe,Moderate,Within Limit,Within Limit,6.81,957,61.8,44.5,93,14.8,0.4
Rajkot,495.9,560.0,Safe,Low,Within Limit,Within Limit,7.59,421,92.4,30.9,108,14.4,0.41
Gandhinagar,479.6,611.3,Safe,Low,Within Limit,Within Limit,8.05,360,53.4,2.0,93,5.6,0.83
Bhavnagar,651.8,647.6,Safe,Moderate,Above Limit,Within Limit,7.25,781,46.5,40.6,327,85.3,0.69
Jamnagar,651.1,613.5,Safe,High,Within Limit,Within Limit,7.21,1960,113.0,47.1,566,43.5,0.37
Junagadh,966.5,861.5,Safe,Moderate,Within Limit,Within Limit,7.81,1158,100.1,42.3,515,22.3,0.13
Kutch,310.6,338.7,Safe,Moderate,Within Limit,Within Limit,7.22,1289,107.8,57.7,292,17.9,0.5
Banaskantha,450.6,509.2,Safe,Moderate,Within Limit,Within Limit,7.29,837,73.7,73.3,230,4.3,1.47
Patan,435.0,563.7,Safe,Moderate,Within Limit,Within Limit,7.57,525,81.0,37.8,183,9.4,0.19
Mehsana,577.8,645.6,Critical,Moderate,Within Limit,Within Limit,7.34,889,95.7,45.1,285,2.4,0.49
Sabarkantha,792.1,739.7,Safe,Low,Above Limit,Above Limit,6.77,452,71.6,2.0,71,81.8,1.9
Aravalli,806.9,779.2,Safe,Low,Above Limit,Within Limit,7.1,248,59.1,22.9,84,56.5,0.58
Anand,846.1,779.5,Safe,Low,Within Limit,Within Limit,7.06,341,52.1,36.0,108,15.6,0.54
Kheda,770.6,715.8,Over-Exploited,Moderate,Within Limit,Within Limit,7.65,1267,63.1,39.0,349,18.1,1.26
Panchmahal,950.6,868.4,Safe,Moderate,Within Limit,Within Limit,7.36,1002,61.0,56.4,226,19.7,0.77
Dahod,1031.4,1082.1,Semi-Critical,Low,Within Limit,Above Limit,6.75,489,97.8,30.0,162,18.0,1.54
Bharuch,1288.3,1267.5,Safe,Moderate,Within Limit,Above Limit,6.95,728,45.7,14.3,168,3.8,1.53
Narmada,1204.6,1242.3,Safe,High,Within Limit,Within Limit,6.97,1557,74.7,24.3,501,10.5,0.81
Tapi,1987.5,1727.0,Safe,Moderate,Within Limit,Within Limit,7.55,786,57.6,67.0,233,21.3,0.63
Navsari,1999.8,1959.9,Safe,Moderate,Within Limit,Within Limit,7.54,1263,80.8,62.9,393,9.3,0.44
Valsad,2226.5,2022.3,Safe,High,Within Limit,Within Limit,6.69,2139,103.3,69.4,608,44.8,1.19
Botad,514.6,590.7,Safe,Moderate,Within Limit,Within Limit,7.8,965,82.2,20.8,207,34.8,0.65
Chhota Udaipur,1248.7,1110.2,Over-Exploited,Moderate,Within Limit,Within Limit,7.23,822,66.0,47.7,317,6.1,0.8
Devbhoomi Dwarka,524.4,663.5,Safe,Moderate,Within Limit,Within Limit,6.91,770,62.6,4.0,354,15.0,0.49
Gir Somnath,897.1,1027.4,Semi-Critical,Low,Within Limit,Within Limit,8.0,404,104.3,27.2,236,26.6,0.34
Morbi,649.9,533.6,Over-Exploited,Moderate,Within Limit,Above Limit,8.31,735,63.3,64.7,209,37.9,1.85
Porbandar,727.4,774.1,Safe,Low,Above Limit,Within Limit,7.37,478,43.6,40.8,104,47.6,0.57
Mahisagar,977.5,816.4,Safe,Moderate,Within Limit,Within Limit,7.41,893,99.7,56.5,212,14.0,0.41
Surendranagar,570.2,526.8,Semi-Critical,Moderate,Within Limit,Within Limit,7.7,1012,105.9,56.8,372,3.8,0.67
Dang,2068.7,2360.8,Safe,Moderate,Within Limit,Within Limit,7.61,845,85.8,48.2,309,23.1,0.33
Amreli,749.8,727.0,Saline,Moderate,Within Limit,Within Limit,7.95,1211,94.9,27.5,287,12.7,0.57
Ahmedabad,583.6,666.6,Safe,High,Within Limit,Within Limit,7.82,1574,103.9,54.3,519,16.0,0.52
Surat,1694.4,1638.8,Semi-Critical,Moderate,Within Limit,Within Limit,7.23,531,55.9,68.3,183,22.7,1.23
Vadodara,931.5,810.9,Safe,Moderate,Within Limit,Within Limit,8.13,556,64.9,53.9,10,7.8,0.67
Rajkot,579.8,531.7,Safe,Moderate,Within Limit,Within Limit,7.0,965,79.0,56.6,123,7.2,0.65
Gandhinagar,676.6,681.3,Safe,Moderate,Within Limit,Above Limit,7.59,1364,101.2,29.6,403,15.6,1.92
Bhavnagar,608.5,658.7,Safe,Moderate,Above Limit,Within Limit,7.63,1334,70.3,44.8,357,53.4,0.9
Jamnagar,619.3,656.3,Saline,High,Within Limit,Within Limit,7.92,2956,111.9,76.1,680,10.8,0.65
Junagadh,967.6,822.2,Safe,Low,Within Limit,Within Limit,7.71,484,73.4,37.7,290,3.3,0.71
Kutch,189.1,306.8,Safe,Low,Within Limit,Within Limit,7.41,391,53.3,49.3,131,15.4,0.66
Banaskantha,463.7,495.1,Safe,Low,Within Limit,Within Limit,7.8,480,57.1,31.4,204,25.8,0.47
Patan,587.7,552.7,Safe,Moderate,Within Limit,Within Limit,7.23,890,69.7,40.3,174,19.4,1.37
Mehsana,564.2,590.9,Semi-Critical,High,Within Limit,Within Limit,8.16,1515,84.0,63.1,248,7.3,0.84
Sabarkantha,809.4,646.3,Over-Exploited,High,Within Limit,Within Limit,7.79,2023,99.9,45.3,514,24.5,0.55
Aravalli,854.3,790.3,Safe,Moderate,Within Limit,Within Limit,6.67,802,110.3,38.8,467,33.7,0.71
Anand,645.1,826.9,Critical,Moderate,Within Limit,Above Limit,8.43,1481,47.8,47.9,412,40.3,2.83
Kheda,995.7,803.0,Safe,Moderate,Within Limit,Within Limit,7.58,886,84.3,61.6,238,38.5,0.38
Panchmahal,809.1,879.1,Safe,Moderate,Within Limit,Within Limit,7.27,843,99.5,29.5,122,6.8,1.45
Dahod,1067.7,1016.0,Semi-Critical,Moderate,Within Limit,Within Limit,7.73,670,68.8,81.5,369,15.5,0.61
Bharuch,1231.2,1371.5,Safe,Moderate,Within Limit,Above Limit,7.41,774,75.4,15.5,283,9.2,1.89
Narmada,1063.3,1054.4,Safe,Low,Within Limit,Above Limit,6.54,212,47.4,22.7,220,19.4,1.74
Tapi,1667.0,1551.9,Safe,Moderate,Within Limit,Within Limit,7.08,518,33.9,42.8,200,37.2,0.91
Navsari,2105.4,2070.2,Over-Exploited,High,Within Limit,Within Limit,7.27,2463,91.1,77.7,659,38.9,0.99
Valsad,2122.8,1881.0,Safe,Low,Within Limit,Within Limit,7.65,474,95.1,31.3,261,27.5,1.33
Botad,614.2,598.2,Safe,Low,Within Limit,Above Limit,8.08,344,26.6,29.8,61,34.3,2.54
Chhota Udaipur,1541.7,1156.8,Over-Exploited,Moderate,Within Limit,Within Limit,6.88,753,57.2,43.1,156,11.0,1.16
Devbhoomi Dwarka,473.1,558.0,Safe,Moderate,Within Limit,Within Limit,7.28,630,92.8,25.9,150,31.9,1.29
Gir Somnath,1177.7,1119.1,Safe,Moderate,Within Limit,Within Limit,7.63,865,72.0,38.9,124,40.9,0.91
Morbi,407.7,618.9,Safe,Moderate,Within Limit,Within Limit,7.06,778,105.6,50.9,263,14.2,1.02
Porbandar,642.5,650.5,Safe,Moderate,Within Limit,Within Limit,8.31,565,100.7,54.4,72,39.9,0.9
Mahisagar,1080.9,1043.8,Safe,Moderate,Above Limit,Within Limit,7.49,797,39.8,30.4,279,49.8,0.57
Surendranagar,477.9,598.0,Safe,High,Within Limit,Within Limit,7.85,1920,111.4,64.9,654,10.5,0.46
Dang,2625.5,2376.9,Critical,Low,Within Limit,Within Limit,7.19,391,101.6,42.0,211,7.9,1.19
Amreli,465.9,624.3,Safe,Moderate,Within Limit,Within Limit,7.97,1237,79.7,40.4,496,17.1,0.77
Ahmedabad,715.9,746.0,Safe,Moderate,Within Limit,Within Limit,7.73,540,56.6,35.9,80,23.2,0.83
Surat,1763.0,1612.9,Semi-Critical,Moderate,Within Limit,Above Limit,7.56,1114,80.8,55.9,239,3.1,1.61
Vadodara,935.5,949.4,Saline,Very High,Within Limit,Within Limit,7.11,4278,131.5,81.5,1165,5.6,0.5
Rajkot,559.1,655.5,Over-Exploited,Moderate,Within Limit,Within Limit,6.52,1078,93.7,35.9,232,7.1,0.62
Gandhinagar,751.1,595.7,Safe,Low,Within Limit,Above Limit,7.22,191,66.0,21.2,115,10.5,2.0
Bhavnagar,417.7,594.1,Safe,Low,Within Limit,Within Limit,7.55,367,65.0,46.8,182,12.0,0.6
Jamnagar,742.1,600.7,Safe,Moderate,Within Limit,Within Limit,8.16,1211,101.0,47.2,271,23.5,0.77
Junagadh,870.1,893.1,Critical,Low,Within Limit,Within Limit,7.9,233,63.7,12.3,147,10.1,1.12
Kutch,446.4,385.3,Safe,Moderate,Within Limit,Within Limit,7.23,726,62.0,30.1,230,16.9,0.49
Banaskantha,434.7,442.8,Over-Exploited,Moderate,Within Limit,Within Limit,6.94,1207,100.8,74.7,429,11.2,0.78
Patan,510.5,586.8,Safe,Moderate,Above Limit,Within Limit,6.82,1279,119.3,42.7,548,79.7,0.75
Mehsana,530.1,516.4,Safe,Moderate,Within Limit,Within Limit,7.24,718,41.2,33.1,141,31.1,1.45
Sabarkantha,766.9,739.5,Safe,Low,Within Limit,Above Limit,7.48,480,85.4,28.4,179,17.8,2.17
Aravalli,855.9,801.1,Safe,Low,Within Limit,Within Limit,7.47,286,62.6,31.8,10,8.4,0.77
Anand,813.7,866.9,Safe,Moderate,Within Limit,Within Limit,8.11,629,66.7,37.5,198,6.8,1.13
Kheda,738.1,740.8,Semi-Critical,Moderate,Within Limit,Within Limit,8.18,1044,54.5,58.6,381,12.0,1.15
Panchmahal,936.4,1020.5,Safe,Moderate,Within Limit,Within Limit,7.56,925,89.2,55.4,294,30.2,0.46
Dahod,1052.3,1114.2,Over-Exploited,Moderate,Within Limit,Within Limit,7.2,811,81.6,48.7,151,9.4,1.24
Bharuch,1259.4,1144.0,Safe,High,Above Limit,Within Limit,7.62,1818,88.1,59.0,637,120.0,1.06
Narmada,1362.4,1253.6,Safe,Moderate,Within Limit,Within Limit,7.87,812,96.4,47.5,227,5.9,1.24
Tapi,1486.8,1627.0,Safe,Low,Within Limit,Within Limit,7.66,406,36.1,40.6,219,31.1,0.63
Navsari,1750.8,1633.4,Safe,High,Within Limit,Within Limit,7.17,1644,103.0,78.4,488,14.6,1.49
Valsad,1597.3,1889.4,Safe,Moderate,Above Limit,Above Limit,7.24,1302,79.7,40.1,338,61.4,2.17
Botad,811.5,729.7,Over-Exploited,High,Above Limit,Within Limit,6.83,1894,94.1,90.8,489,67.2,0.83
Chhota Udaipur,951.2,867.9,Safe,High,Within Limit,Within Limit,7.38,1710,118.9,30.6,367,23.6,1.07
Devbhoomi Dwarka,735.7,687.8,Saline,Moderate,Within Limit,Within Limit,7.49,1376,99.5,22.5,391,15.3,0.54
Gir Somnath,897.9,1041.6,Saline,Very High,Within Limit,Within Limit,7.62,3079,143.3,59.3,699,25.0,0.67
Morbi,759.5,725.1,Safe,Moderate,Within Limit,Within Limit,7.33,828,52.2,50.9,251,18.8,0.85
Porbandar,572.7,711.8,Safe,Moderate,Within Limit,Within Limit,7.06,1322,83.7,69.1,523,5.1,0.81
Mahisagar,797.6,970.9,Safe,Moderate,Within Limit,Within Limit,7.45,1295,89.8,35.7,407,39.1,0.86
Surendranagar,541.6,574.3,Saline,High,Within Limit,Within Limit,7.42,2791,133.9,64.7,650,26.7,0.6
Dang,2332.5,2330.6,Safe,Moderate,Within Limit,Within Limit,6.99,1185,86.6,37.3,249,10.0,0.58
Amreli,720.7,766.4,Saline,Moderate,Within Limit,Within Limit,7.45,1324,87.1,42.5,368,43.7,1.2
Ahmedabad,582.5,683.1,Saline,Very High,Within Limit,Within Limit,7.82,6000,190.3,102.5,1626,13.4,0.71
Surat,1086.6,1303.9,Safe,Moderate,Within Limit,Within Limit,7.8,1041,94.5,55.4,305,14.4,0.95
Vadodara,960.8,960.2,Safe,High,Within Limit,Above Limit,7.31,1654,73.5,54.6,472,18.7,1.73
Rajkot,568.5,682.9,Safe,High,Within Limit,Within Limit,6.3,2009,143.2,55.8,537,19.1,1.01
Gandhinagar,669.3,680.0,Over-Exploited,High,Within Limit,Within Limit,7.63,2886,98.5,84.4,813,12.9,1.29
Bhavnagar,625.5,642.1,Safe,Moderate,Within Limit,Within Limit,6.43,689,63.2,51.0,220,7.2,1.43
Jamnagar,513.5,605.1,Safe,Very High,Within Limit,Within Limit,6.98,3006,137.7,63.5,812,9.7,0.38
Junagadh,982.9,938.3,Safe,High,Within Limit,Within Limit,7.39,1590,136.2,57.9,493,6.7,0.55
Kutch,365.7,370.8,Safe,Moderate,Within Limit,Within Limit,7.07,895,80.3,45.2,179,33.4,0.29
Banaskantha,641.6,509.2,Safe,Moderate,Within Limit,Within Limit,7.67,1203,66.1,74.6,461,10.2,0.6
Patan,691.1,574.4,Critical,Low,Above Limit,Within Limit,7.0,375,64.6,3.1,145,51.6,0.34
Mehsana,515.2,555.9,Over-Exploited,Very High,Within Limit,Within Limit,7.17,3406,158.5,72.1,963,24.5,0.74
Sabarkantha,683.7,657.8,Safe,Moderate,Within Limit,Within Limit,7.12,614,101.7,47.4,255,14.6,0.72
Aravalli,765.4,735.1,Semi-Critical,Moderate,Within Limit,Within Limit,7.39,1176,67.7,59.0,347,6.3,0.22
Anand,743.2,817.9,Safe,Moderate,Within Limit,Above Limit,7.09,1036,83.4,39.9,449,42.8,1.8
Kheda,855.5,781.4,Safe,Moderate,Above Limit,Within Limit,7.99,845,75.5,21.7,101,76.0,1.07
Panchmahal,1103.8,939.9,Safe,Low,Within Limit,Within Limit,7.26,297,61.2,45.6,69,7.6,0.39
Dahod,1103.1,1199.6,Critical,Moderate,Within Limit,Within Limit,7.65,574,57.5,13.0,67,19.1,1.08
Bharuch,1138.4,1082.5,Safe,Low,Within Limit,Within Limit,6.78,304,111.2,53.1,188,11.8,0.69
Narmada,1397.0,1199.8,Safe,Moderate,Within Limit,Within Limit,7.61,1019,77.0,57.2,329,20.7,0.51
Tapi,1380.5,1585.6,Saline,High,Within Limit,Within Limit,7.44,2450,60.9,63.3,569,29.8,1.17
Navsari,1853.0,1743.2,Safe,Moderate,Within Limit,Within Limit,7.31,1141,113.5,36.2,453,16.7,0.48
Valsad,1699.9,1947.3,Safe,Moderate,Within Limit,Within Limit,6.76,1281,113.4,35.2,437,20.4,0.94
Botad,637.0,610.5,Safe,Moderate,Above Limit,Within Limit,6.82,867,58.1,34.9,206,54.5,0.8
Chhota Udaipur,968.7,1032.5,Over-Exploited,Moderate,Within Limit,Within Limit,7.28,1166,61.8,35.3,403,23.2,0.73
Devbhoomi Dwarka,616.7,620.1,Semi-Critical,Moderate,Within Limit,Within Limit,7.61,706,83.0,17.0,216,6.0,1.17
Gir Somnath,987.6,1064.0,Safe,Moderate,Above Limit,Within Limit,6.56,746,94.4,51.8,328,65.7,0.38
Morbi,735.4,624.4,Critical,Low,Above Limit,Within Limit,7.33,326,59.3,47.7,10,85.5,0.75
Porbandar,744.0,748.9,Safe,Moderate,Within Limit,Within Limit,6.47,1075,73.8,58.8,342,5.4,0.83
Mahisagar,783.1,887.2,Saline,Moderate,Within Limit,Within Limit,7.65,1169,105.6,79.3,224,37.0,1.32
Surendranagar,502.2,571.0,Saline,Moderate,Within Limit,Within Limit,7.19,1453,93.1,72.2,502,5.5,0.5
Dang,2233.8,2416.6,Safe,Moderate,Above Limit,Above Limit,6.72,773,98.5,12.9,112,46.4,2.53
Amreli,680.8,684.5,Safe,Moderate,Within Limit,Within Limit,7.52,1380,80.1,43.4,270,24.1,0.76
Ahmedabad,540.0,625.2,Saline,High,Within Limit,Within Limit,7.65,1594,109.5,49.0,414,10.1,1.4
Surat,1568.0,1503.6,Safe,Moderate,Within Limit,Within Limit,7.28,992,56.5,29.9,388,11.2,0.63
Vadodara,683.0,816.8,Safe,Moderate,Within Limit,Above Limit,8.08,504,83.2,29.7,263,17.7,1.8
Rajkot,840.2,758.0,Safe,Moderate,Within Limit,Within Limit,7.68,847,77.2,15.2,209,9.3,0.53
Gandhinagar,865.4,775.7,Safe,Moderate,Within Limit,Within Limit,7.72,1042,43.0,56.6,386,3.3,1.27
Bhavnagar,431.0,578.8,Safe,High,Within Limit,Within Limit,7.0,1773,81.1,71.4,469,17.3,0.71
Jamnagar,620.4,637.4,Safe,Moderate,Within Limit,Within Limit,7.2,857,84.2,47.6,416,14.7,0.72
Junagadh,1023.6,917.5,Critical,Low,Within Limit,Within Limit,7.44,416,18.2,32.2,240,11.2,0.89
Kutch,277.3,328.8,Semi-Critical,Moderate,Within Limit,Within Limit,6.98,1433,94.5,56.1,340,22.7,0.46
Banaskantha,427.5,526.1,Semi-Critical,Moderate,Within Limit,Within Limit,7.3,653,95.3,41.9,290,31.2,1.11
Patan,572.0,505.6,Safe,Moderate,Within Limit,Within Limit,6.71,646,68.6,46.5,83,9.9,0.38
Mehsana,703.8,586.7,Safe,Moderate,Within Limit,Within Limit,7.61,705,84.2,63.9,174,16.8,0.65
Sabarkantha,904.4,704.0,Critical,Moderate,Within Limit,Within Limit,7.06,815,53.2,61.0,185,34.0,0.53
Aravalli,728.5,674.0,Safe,Moderate,Within Limit,Within Limit,7.57,548,80.9,46.4,166,34.6,0.46
Anand,716.4,652.8,Safe,Moderate,Above Limit,Within Limit,7.16,884,48.2,12.7,275,74.8,0.74
Kheda,756.1,758.3,Safe,High,Within Limit,Within Limit,7.7,2958,100.5,74.8,816,8.6,1.26
Panchmahal,673.8,840.0,Safe,Moderate,Above Limit,Within Limit,7.37,837,76.7,31.1,209,49.3,1.04
Dahod,763.5,1017.1,Safe,Low,Within Limit,Within Limit,7.46,462,56.6,26.3,118,18.9,1.28
Bharuch,1108.0,1100.0,Safe,Moderate,Within Limit,Within Limit,7.2,699,91.9,51.6,388,32.6,0.59
Narmada,1252.5,1109.5,Safe,Low,Within Limit,Within Limit,7.72,491,54.6,42.6,88,37.3,0.38
Tapi,1597.0,1634.6,Safe,Moderate,Within Limit,Within Limit,7.24,850,68.6,45.1,182,8.9,0.65
Navsari,1545.9,1747.0,Semi-Critical,Moderate,Above Limit,Within Limit,7.27,1393,83.3,31.0,564,120.0,0.5
Valsad,2163.3,2183.9,Safe,High,Within Limit,Within Limit,7.53,2094,103.9,23.9,503,20.3,0.9
Botad,524.6,579.3,Safe,Moderate,Within Limit,Within Limit,6.85,1115,85.0,65.3,360,26.2,0.24
Chhota Udaipur,1295.8,1028.8,Safe,Moderate,Within Limit,Within Limit,7.91,558,59.0,34.2,231,21.7,1.01
Devbhoomi Dwarka,493.9,579.1,Safe,Low,Within Limit,Within Limit,7.19,470,64.8,52.6,175,29.5,0.87
Gir Somnath,909.2,907.0,Safe,Moderate,Within Limit,Within Limit,7.7,865,55.9,12.4,280,26.5,0.72
Morbi,647.3,581.4,Safe,Moderate,Within Limit,Above Limit,7.29,607,73.7,20.8,190,19.0,2.14
Porbandar,700.1,684.1,Safe,Moderate,Within Limit,Above Limit,7.07,1388,115.3,77.3,395,13.0,2.12
Mahisagar,1020.4,1011.0,Safe,High,Within Limit,Within Limit,7.93,1883,90.9,62.0,567,20.5,0.35
Surendranagar,451.2,553.1,Safe,Moderate,Within Limit,Within Limit,6.93,1075,85.4,73.6,433,4.6,0.37
Dang,1778.3,2070.6,Safe,Low,Within Limit,Within Limit,7.4,297,80.0,48.8,86,16.1,0.99
